segment,lon (deg),lat (deg),depth (m),slip (m),strike (deg),dip (deg),rake (deg),rupturetime (s),length (m),width (m), rise (s)
1,178.8275,-37.6397,21000.00,0.52,207.00,66.00,250.99,7.56,5000.0,4666.6,3.00
1,178.8017,-37.6798,21000.00,0.90,207.00,66.00,248.41,4.50,5000.0,4666.6,3.00
1,178.7758,-37.7199,21000.00,1.22,207.00,66.00,251.57,2.05,5000.0,4666.6,5.00
1,178.7500,-37.7600,21000.00,1.34,207.00,66.00,255.25,1.00,5000.0,4666.6,2.00
1,178.7242,-37.8001,21000.00,1.24,207.00,66.00,258.14,1.85,5000.0,4666.6,5.00
1,178.6983,-37.8402,21000.00,1.01,207.00,66.00,262.88,3.90,5000.0,4666.6,4.00
1,178.6725,-37.8803,21000.00,0.77,207.00,66.00,271.80,5.96,5000.0,4666.6,4.00
1,178.6466,-37.9204,21000.00,0.47,207.00,66.00,270.10,8.01,5000.0,4666.6,4.00
1,178.6208,-37.9605,21000.00,0.19,207.00,66.00,273.71,10.06,5000.0,4666.6,2.00
1,178.5950,-38.0006,21000.00,0.00,207.00,66.00,247.84,12.11,5000.0,4666.6,6.00
1,178.5691,-38.0406,21000.00,0.00,207.00,66.00,244.11,14.36,5000.0,4666.6,5.00
1,179.0925,-37.1910,25263.20,0.02,207.00,66.00,265.42,26.58,5000.0,4666.6,7.00
1,179.0667,-37.2310,25263.20,0.06,207.00,66.00,272.64,24.94,5000.0,4666.6,4.00
1,179.0408,-37.2711,25263.20,0.20,207.00,66.00,253.50,23.49,5000.0,4666.6,4.00
1,179.0150,-37.3112,25263.20,0.29,207.00,66.00,248.68,22.24,5000.0,4666.6,6.00
1,178.9891,-37.3513,25263.20,0.42,207.00,66.00,244.62,21.40,5000.0,4666.6,7.00
1,178.9633,-37.3914,25263.20,0.54,207.00,66.00,253.15,20.76,5000.0,4666.6,5.00
1,178.9375,-37.4315,25263.20,0.63,207.00,66.00,257.76,20.12,5000.0,4666.6,3.00
1,178.9116,-37.4716,25263.20,0.50,207.00,66.00,255.48,19.08,5000.0,4666.6,7.00
1,178.8858,-37.5117,25263.20,0.28,207.00,66.00,247.27,17.24,5000.0,4666.6,6.00
1,178.8599,-37.5518,25263.20,0.01,207.00,66.00,268.57,14.62,5000.0,4666.6,6.00
1,178.8341,-37.5919,25263.20,0.04,207.00,66.00,255.33,11.41,5000.0,4666.6,2.00
1,178.8083,-37.6320,25263.20,0.32,207.00,66.00,254.81,8.22,5000.0,4666.6,3.00
1,178.7824,-37.6721,25263.20,0.64,207.00,66.00,248.47,5.29,5000.0,4666.6,3.00
1,178.7566,-37.7122,25263.20,0.91,207.00,66.00,255.81,2.93,5000.0,4666.6,3.00
1,178.7307,-37.7522,25263.20,1.03,207.00,66.00,259.31,1.93,5000.0,4666.6,7.00
1,178.7049,-37.7923,25263.20,1.02,207.00,66.00,262.89,2.73,5000.0,4666.6,8.00
1,178.6791,-37.8324,25263.20,0.80,207.00,66.00,266.99,4.49,5000.0,4666.6,6.00
1,178.6532,-37.8725,25263.20,0.55,207.00,66.00,273.04,6.62,5000.0,4666.6,4.00
1,178.6274,-37.9126,25263.20,0.29,207.00,66.00,270.64,8.81,5000.0,4666.6,2.00
1,178.6016,-37.9527,25263.20,0.06,207.00,66.00,264.24,11.22,5000.0,4666.6,2.00
1,178.5757,-37.9928,25263.20,0.01,207.00,66.00,255.64,13.44,5000.0,4666.6,4.00
1,178.5499,-38.0329,25263.20,0.00,207.00,66.00,237.73,15.68,5000.0,4666.6,5.00
1,179.0732,-37.1832,29526.40,0.00,207.00,66.00,262.66,26.36,5000.0,4666.6,5.00
1,179.0474,-37.2233,29526.40,0.03,207.00,66.00,249.01,24.72,5000.0,4666.6,5.00
1,179.0216,-37.2634,29526.40,0.06,207.00,66.00,268.83,23.29,5000.0,4666.6,5.00
1,178.9957,-37.3035,29526.40,0.11,207.00,66.00,239.17,22.26,5000.0,4666.6,6.00
1,178.9699,-37.3436,29526.40,0.21,207.00,66.00,258.32,21.44,5000.0,4666.6,8.00
1,178.9440,-37.3837,29526.40,0.35,207.00,66.00,259.65,20.82,5000.0,4666.6,4.00
1,178.9182,-37.4238,29526.40,0.39,207.00,66.00,258.68,20.41,5000.0,4666.6,5.00
1,178.8924,-37.4638,29526.40,0.41,207.00,66.00,258.13,19.42,5000.0,4666.6,6.00
1,178.8665,-37.5039,29526.40,0.28,207.00,66.00,251.76,17.64,5000.0,4666.6,8.00
1,178.8407,-37.5440,29526.40,0.02,207.00,66.00,262.95,15.28,5000.0,4666.6,5.00
1,178.8149,-37.5841,29526.40,0.01,207.00,66.00,273.49,12.37,5000.0,4666.6,4.00
1,178.7890,-37.6242,29526.40,0.11,207.00,66.00,270.67,9.34,5000.0,4666.6,4.00
1,178.7632,-37.6643,29526.40,0.27,207.00,66.00,245.74,6.67,5000.0,4666.6,5.00
1,178.7373,-37.7044,29526.40,0.47,207.00,66.00,261.91,4.72,5000.0,4666.6,5.00
